RealmOwner.display_name,RealmOwner.name,Website.url,calendar.Website.url,Email.email,Phone.phone,Address.street1,Address.street2,Address.city,Address.state,Address.zip,Address.country,GeoPosition.latitude,GeoPosition.longitude,SearchWords.value
Moe's Original BBQ - Denver,v-moesdenver,http://www.moesdenver.com,http://www.moesdenver.com,ignore-moesdenver@bivio.biz,303.630.1980,540 Broadway,,Denver,CO,80203,US,39.7249415,-104.9874436,
Montview Boulevard Presbyterian Church,v-montviewpresbyterian,http://www.montview.org/,http://www.montview.org/,ignore-montviewpresbyterian@bivio.biz,,1980 Dahlia Street,,Denver,CO,80220,US,39.746835,-104.931874,
Mo's,v-coclubs_mos,http://www.coclubs.com/venue/detail/mos,http://www.coclubs.com/venue/detail/mos,ignore-coclubs_mos@bivio.biz,303.832.8628,1037 Broadway,,Denver,CO,80203,US,39.7328587,-104.9876075,
Mountain Sun Brewery,v-mountainsun,http://www.mountainsunpub.com/,http://www.mountainsunpub.com/BosDatesLite200/calendar.php,ignore-mountainsun@bivio.biz,303.546.0886,1535 Pearl Street,,Boulder,CO,80302,US,40.0189979,-105.2752141,
Mountain View Methodist Church,v-mountainview,http://www.mtview.org,http://www.mtview.org,ignore-mountainview@bivio.biz,,355 Ponca Place,,Boulder,CO,80303,US,39.993715,-105.235733,
National Western Complex,v-nationalwestern,http://www.nationalwestern.com/,http://www.nationalwestern.com/schedule/,ignore-nationalwestern@bivio.biz,303.297.1166,4655 Humboldt Street,,Denver,CO,80216,US,39.780431,-104.970577,
Nissi's,v-nissis,http://www.nissis.com,http://www.nissis.com/lmcalendar.html,marc@nissis.com,303.665.2757,2675 North Park Drive,,Lafayette,CO,80326,US,40.013244,-105.128887,
Norlin Library,v-cu_norlin,http://ucblibraries.colorado.edu/norlin/index.htm,http://ucblibraries.colorado.edu/norlin/index.htm,libweb@colorado.edu,303-492-8705,1720 Pleasant Street,,Boulder,CO,80309,US,40.0094419,-105.2728413,
Ogden Theater,v-ogdentheatre,http://www.ogdentheatre.net/index.php,http://www.ogdentheatre.net/events.php,ignore-ogdentheatre@bivio.biz,303.832.1874,935 East Colfax Avenue,,Denver,CO,80206,US,39.740118,-104.975305,
Oskar Blues Grill & Brew,v-oskargrill,http://www.oskarblues.com/restaurant/grill-brew,http://www.oskarblues.com/restaurant/grill-brew,ignore-oskargrill@bivio.biz,303.823.6685,303 Main Street,,Lyons,CO,80540,US,40.2245869,-105.26754,
Oskar Blues Home Made Liquids & Solids,v-oskarliquids,http://www.oskarblues.com/restaurant/liquids-solids,http://www.oskarblues.com/restaurant/liquids-solids,anita@oskarblues.com,303.485.9400,1555 S Hover Rd,,Longmont,CO,80501,US,40.1405217,-105.1309498,
Oskar Blues Tasty Weasel Tap Room,v-oskarweasel,http://www.oskarblues.com/restaurant/tasty-weasel-tap-room,http://www.oskarblues.com/restaurant/tasty-weasel-tap-room,ignore-oskarweasel@bivio.biz,303.776.1914 ext. 313,"1800 Pike Rd, Unit B",,Longmont,CO,80501,US,40.139056,-105.121887,
Paramount Theatre,v-denverparamount,http://www.denverparamount.com/,http://www.denverparamount.com/,ignore-denverparamount@bivio.biz,303.623.0106,1621 Glenarm Place,,Denver,CO,80202,US,39.744361,-104.99027,
Parenting Place,v-parentingplace,http://www.boulderparenting.org/,http://www.boulderparenting.org/calendar.html,info@boulderparenting.org,303.449.0177,1235 Pine Street,,Boulder,CO,80302,US,40.0201332,-105.2800293,
Pepsi Center,v-pepsicenter,http://www.pepsicenter.com/Default.aspx,http://www.pepsicenter.com/Calendar.aspx,ignore-pepsicenter@bivio.biz,303.405.1111,1000 Chopper Circle,,Denver,CO,80204,US,39.7484727,-105.0073028,
Piper Inn,v-piperinn,http://www.piperinn.com,http://www.piperinn.com/Portals/0/Skins/piperindexnew/Events/tabid/53/Default.aspx,ignore-piperinn@bivio.biz,303.755.0771,2251 South Parker Road,,Denver,CO,80231,US,39.675348,-104.87226,
Prentup Field,v-cu_prentup,http://www.cubuffs.com/ViewArticle.dbml?DB_OEM_ID=600&ATCLID=273416,http://www.cubuffs.com/SportSelect.dbml?&DB_OEM_ID=600&SPID=259&SPSID=3937,ignore-cu_prentup@bivio.biz,,Discovery Dr.,,Boulder,CO,80310,US,40.009437,-105.2477699,
Q's Pub & Grille,v-qspub,http://www.qspub.com/,http://www.qspub.com/live_entertainment_calendar,ignore-qspub@bivio.biz,303.973.2905,10133 West Chatfield Avenue,,Littleton,CO,80127,US,39.5698007,-105.1121885,
Quixote's True Blue Denver,v-quixotes,http://www.quixotes.com,http://www.quixotes.com,ignore-quixotes@bivio.biz,303.366.6492,2151 Lawrence Street,,Denver,CO,80205,US,39.753642,-104.9900877,
Red Rocks Park and Amphitheater,v-redrocksonline,http://www.redrocksonline.com,http://www.redrocksonline.com/Calendar.aspx,ignore-redrocksonline@bivio.biz,720.865.2494,18300 West Alameda Parkway,,Morrison,CO,80465,US,39.66774,-105.208969,
REI Boulder,v-rei,http://www.rei.com/stores/44,http://www.rei.com/storesrss/44,ignore-rei@bivio.biz,303.583.9970,1789 28th St,,Boulder,CO,80301,US,40.0190599,-105.2595675,
Rembrandt Yard Art Gallery,v-rembrandtyard,http://www.rembrandtyard.com/,http://www.rembrandtyard.com/,ignore-rembrandtyard@bivio.biz,,1301 Spruce Street,,Boulder,CO,80302,US,40.0192613,-105.2787135,
Rock Bottom Restaurant and Brewery,v-rockbottom_denverdowntown,http://www.rockbottom.com/denver-downtown,http://www.rockbottom.com/denver-downtown/events,ignore-rockbottom_denverdowntown@bivio.biz,303.543.7616,1001 16th Street Unit A-100,,Denver,CO,80265,US,39.7477986,-104.9949057,
Rock N Soul Cafe,v-rockandsoul,http://www.rocknsoulcafe.com,http://www.rocknsoulcafe.com/calendar/,feedback@rocknsoulcafe.com,,"5290 Arapahoe Ave., Ste I",,Boulder,CO,80303,US,40.0145947,-105.2288965,
Rocky Mountain Center for Musical Arts,v-rockymountaincenter,http://www.comusic.org,http://www.comusic.org,ignore-rockymountaincenter@bivio.biz,,200 E Baseline Rd,,Lafayette,CO,80026,US,40.0002084,-105.0893369,
Rox Bar & Grill,v-littletonbarandgrill,http://www.littletonbarandgrill.com/,http://www.littletonbarandgrill.com/events/Rox-Bar-Grill.htm,ignore-littletonbarandgrill@bivio.biz,303.972.2769,12684 West Indore Place,,Littleton,CO,80127,US,39.5796009,-105.1404359,
Saint John's Cathedral,v-stjohns,http://www.sjcathedral.org/,http://www.sjcathedral.org/,ignore-stjohns@bivio.biz,,1350 Washington Street,,Denver,CO,80203,US,39.7376665,-104.9787038,
Skylark Lounge,v-skylarklounge,http://www.skylarklounge.com,http://www.skylarklounge.com/cal.cfm,ignore-skylarklounge@bivio.biz,303.722.7844,140 S Broadway,,Denver,CO,80209,US,39.713718,-104.987144,
Southern Sun Brewery,v-southernsun,http://www.mountainsunpub.com/,http://www.mountainsunpub.com/BosDatesLite200/calendar.php,ignore-southernsun@bivio.biz,303.543.0886,627 South Broadway,,Boulder,CO,80305,US,39.9999897,-105.2637241,
Spark Theater,v-sparktheater,http://sparktheater.org,http://sparktheater.org/shows-2/,ignore-sparktheater@bivio.biz,303.319.1342,240 South Broadway Suite 102,,Denver,CO,80209,US,39.7122266,-104.9872214,
Sputnik,v-sputnik,http://www.sputnikdenver.com/,http://www.sputnikdenver.com/,ignore-sputnik@bivio.biz,,3 S. Broadway,,Denver,CO,80229,US,39.7166404,-104.9875023,
St. Andrew's Episcopal Church,v-standrews,http://www.standrewdenver.org/,http://www.standrewdenver.org/,ignore-standrews@bivio.biz,,2015 Glenarm Pl.,,Denver,CO,80205,US,39.748135,-104.985373,
Star Bar Denver,v-starbar,http://www.starbardenver.com,http://www.starbardenver.com/Star_Bar_Denver/Specials_and_Events.html,ignore-starbar@bivio.biz,720.328.2420,2137 Larimer Street,,Denver,CO,80202,US,39.7543133,-104.9908029,
Steinbaugh Pavilion,v-steinbaugh,http://www.downtownlouisvilleco.com/,http://www.downtownlouisvilleco.com/,ignore-steinbaugh@bivio.biz,,824 Front St,,Louisville,CO,80027,US,39.9780263,-105.1307608,
St Julien,v-stjulien,http://www.stjulien.com/,http://www.stjulien.com/events-entertainment,ignore-stjulien@bivio.biz,720.406.9696,900 Walnut Street,,Boulder,CO,80302,US,40.015974,-105.2827011,
Summit Music Hall,v-denvermusicvenues_summit,http://www.denvermusicvenues.com/,http://www.denvermusicvenues.com/events/Soda-Jerk-Presents.htm,ignore-denvermusicvenues_summit@bivio.biz,303.487.0111,1902 Blake Street,,Denver,CO,80202,US,39.753338,-104.995071,
Sun Rose Cafe,v-sunrose,http://www.sunrosecafe.com/,http://www.sunrosecafe.com/,ignore-sunrose@bivio.biz,303-651-3533,379 Main Street,,Longmont,CO,80501,US,40.1654172,-105.1026958,
Swallow Hill Cafe,v-swallowhill_cafe,http://swallowhillmusic.org/community/cafe,http://swallowhillmusic.org/community/cafe,ignore-swallowhillcafe@bivio.biz,,71 East Yale Avenue,,Denver,CO,80210,US,39.667954,-104.9866909,
The Black Sheep,v-denvermusicvenues_sheep,http://www.denvermusicvenues.com/,http://www.denvermusicvenues.com/events/Soda-Jerk-Presents.htm,ignore-denvermusicvenues_sheep@bivio.biz,719.227.7625,2601 E Platte Ave,,Colorado Springs,CO,80909,US,38.8393232,-104.7789725,
The Buffalo Rose,v-buffalorose,http://buffalorose.net/,http://buffalorose.net/,ignore-buffalorose@bivio.biz,303.278.6800,1119 Washington Avenue,,Golden,CO,80401,US,39.755521,-105.221279,
The Children's Museum of Denver,v-mychildsmuseum,http://www.mychildsmuseum.org/Default.aspx,http://www.mychildsmuseum.org/calendar/Default.aspx,ignore-mychildsmuseum@bivio.biz,303.433.7444,2121 Children's Museum Drive,,Denver,CO,80211,US,39.748757,-105.016701,
The Church,v-coclubs_thechurch,http://www.coclubs.com/venue/detail/the-church,http://www.coclubs.com/venue/detail/the-church,ignore-coclubs_thechurch@bivio.biz,303.832.8628,1160 Lincoln Street,,Denver,CO,80203,US,39.735063,-104.986086,
The Dairy Center for the Arts,v-dairycenter,http://thedairy.org,http://thedairy.org/listings/,info@thedairy.org,303.440.7826,2590 Walnut Street,,Boulder,CO,80302,US,40.019498,-105.261231,
The Draft Sports Grill,v-thedraftsportsgrill,http://www.thedraftsportsgrill.com,http://www.thedraftsportsgrill.com/frames/calendars/monthly.htm,ignore-thedraftsportsgrill@bivio.biz,303.932.8845,9150 West Cross Drive,,Littleton,CO,80123,US,39.61331,-105.099047,
The Laughing Goat Coffeehouse,v-thelaughinggoat,http://thelaughinggoat.com,http://thelaughinggoat.com/events.php,contact@thelaughinggoat.com,303.440.4628,1709 Pearl Street,,Boulder,CO,80302,US,40.019444,-105.2730684,
The Lazy Dog,v-lazydog,http://thelazydog.com,http://thelazydog.com/Live_Music.html,thelazydog@earthlink.net,303.440.3355,1346 Pearl St,,Boulder,CO,80302,US,40.018256,-105.277466,
The Living Room,v-coclubs_livingroom,http://www.coclubs.com/venue/detail/the-living-room,http://www.coclubs.com/venue/detail/the-living-room,ignore-coclubs_livingroom@bivio.biz,303.339.6636,1055 Broadway,,Denver,CO,80203,US,39.7330516,-104.9874381,
The Oriental Theater,v-oriental,http://www.theorientaltheater.com/,http://www.theorientaltheater.com/,ignore-oriental@bivio.biz,720.420.0030,4335 W 44th Ave.,,Denver,CO,80212,US,39.77665,-105.043588,
The Rib House - Boulder,v-ribhouse,http://www.theribhouse.com,http://www.theribhouse.com/center-stage,info@theribhouse.com,303.442.7427,1801 13th Street,,Boulder,CO,80302,US,40.0165,-105.278795,
The Soiled Dove,v-soiled_dove,http://www.tavernhg.com/soiled_dove,http://www.tavernhg.com/soiled_dove/shows?site=soiled_dove,ignore-soiled_dove@bivio.biz,303.830.9214,7401 E. 1st Ave Denver,,Denver,CO,80230,US,39.718991,-104.901292,
The Thin Man,v-thinmantavern,http://www.thinmantavern.com/index.html,http://www.thinmantavern.com/2011/06/its_time_for_summer_movie_seas.html,ignore-thinmantavern@bivio.biz,303.320.7814,2015 East 17th Avenue,,Denver,CO,80206,US,39.7434136,-104.9629989,
The Walnut Room,v-thewalnutroom,http://www.thewalnutroom.com,http://www.thewalnutroom.com/calendar/,ignore-thewalnutroom@bivio.biz,303.292.0529,3131 Walnut St,,Denver,CO,80205,US,39.7643479,-104.9797414,
The Walnut Room Pizzeria,v-thewalnutroompizzeria,http://www.thewalnutroom.com/,http://www.thewalnutroom.com/calendar,ignore-thewalnutroompizzeria@bivio.biz,303.736.6750,2 N. Broadway,,Denver,CO,80203,US,39.716598,-104.98731,
The West End Tavern,v-westend,http://www.thewestendtavern.com,http://www.thewestendtavern.com/Events/LiveMusic/tabid/318/Default.aspx,westend@bigredf.com,303.444.3535,926 Pearl Street,,Boulder,CO,80302,US,40.0169966,-105.2841899,
Town Hall Arts Center,v-townhallartscenter,http://www.townhallartscenter.com/index.asp,http://www.townhallartscenter.com/concerts_events.asp,ignore-townhallartscenter@bivio.biz,303.794.2787,2450 West Main Street,,Littleton,CO,80120,US,39.613416,-105.016923,
Trident Cafe,v-tridentcafe,http://tridentcafe.com/,http://tridentcafe.com/,ignore-tridentcafe@bivio.biz,303.443.3133,940 Pearl St,,Boulder,CO,80302,US,40.0171807,-105.2829311,
Tuft Theatre at Swallow Hill,v-swallowhill_tufttheatre,http://swallowhillmusic.org/,http://events.swallowhill.com/Default.asp,ignore-swallowhill_tufttheater@bivio.biz,303.777.1003,71 East Yale Avenue,,Denver,CO,80210,US,39.667954,-104.9866909,
Tutti,v-tutti103,http://tutti103.com/,http://www.tutti103.com/Upcoming_Events.html,ignore-tutti103@bivio.biz,720.746.9649,103 South Public Road,,Lafayette,CO,80206,US,39.9981953,-105.0904749,
Twenty Ninth Street,v-twentyninthst,http://www.twentyninthstreet.com,http://www.twentyninthstreet.com,ignore-twentyninthst@bivio.biz,303.444.0722,1710 29th St,,Boulder,CO,80301,US,40.0200556,-105.2562414,29th
Unitarian Universalist Church of Boulder,v-unitarian,http://www.uucboulder.org,http://www.uucboulder.org,ignore-unitarian@bivio.biz,,5001 Pennsylvania Ave,,Boulder,CO,80303,US,40.007089,-105.23172,
University Memorial Center,v-cu_umc,http://umc.colorado.edu/,http://umc.colorado.edu/eventlist.html,ignore-cu_umc@bivio.biz,,1669 Euclid Av,,Boulder,CO,80302,US,40.0070317,-105.272069,
Vinyl,v-coclubs_vinyl,http://www.coclubs.com/venue/detail/vinyl-,http://www.coclubs.com/venue/detail/vinyl-,ignore-coclubs_vinyl@bivio.biz,303.832.8628,1082 Broadway,,Denver,CO,80203,US,39.733571,-104.9873835,
Walden Ponds Wildlife Habitat Area,v-waldenponds,http://www.bouldercounty.org/pages/calendar.aspx,http://www.bouldercounty.org/pages/calendar.aspx,ignore-waldenponds@bivio.biz,,Walden Ponds,,Boulder,CO,80301,US,40.0440795,-105.1832475,
Whistle Stop Park,v-niwot_rhythm,http://www.niwot.com/events/rhythm_on_the_rails/,http://www.niwot.com/events/rhythm_on_the_rails/,info@niwot.com,,Murray St and 1st Ave,,Niwot,CO,80503,US,40.1028391,-105.1736585,
WOW Children's Museum,v-wow,http://www.wowmuseum.com/,http://www.wowmuseum.com/calendar.html,ignore-wow@bivio.biz,303.604.2424,110 North Harrison,,Lafayette,CO,80026,US,39.9990251,-105.0892088,
Zephyr Lounge,v-zephyrlounge,http://www.zephyrloungecolorado.com,http://www.zephyrloungecolorado.com,ignore-zephyrlounge@bivio.biz,303.364.8981,11940 East Colfax Avenue,,Aurora,CO,80010,US,39.739603,-104.848776,
